fecha_diagnostico,residencia_provincia_nombre,lat,lng,Casos
2020-04-07,Buenos Aires,-36.15722,-60.56972,16
2020-04-07,CABA,-34.58591,-58.38171,13
2020-04-07,Chaco,-27.45138,-58.98666,12
2020-04-07,Córdoba,-32,-64,5
2020-04-07,La Pampa,-36.61666,-64.28333,1
2020-04-07,Mendoza,-32.89027,-68.84722,5
2020-04-07,Neuquén,-38.95166,-68.07444,4
2020-04-07,Río Negro,-40.8,-63,6
2020-04-07,Santa Cruz,-48.8238,-69.815,7
2020-04-07,Santa Fe,-33.72277,-62.24611,3
2020-04-07,Tierra del Fuego,-54.36194,-67.63805,2
2020-04-08,Buenos Aires,-36.15722,-60.56972,23
2020-04-08,CABA,-34.58591,-58.38171,28
2020-04-08,Chaco,-27.45138,-58.98666,3
2020-04-08,Córdoba,-32,-64,6
2020-04-08,Corrientes,-28.6666,-57.6333,4
2020-04-08,La Pampa,-36.61666,-64.28333,1
2020-04-08,La Rioja,-29.1,-66.85,4
2020-04-08,Mendoza,-32.89027,-68.84722,5
2020-04-08,Neuquén,-38.95166,-68.07444,12
2020-04-08,Río Negro,-40.8,-63,7
2020-04-08,Santa Fe,-33.72277,-62.24611,7
2020-04-08,Tucumán,-27,-65.5,1
2020-04-09,Buenos Aires,-36.15722,-60.56972,20
2020-04-09,CABA,-34.58591,-58.38171,24
2020-04-09,Chaco,-27.45138,-58.98666,6
2020-04-09,Córdoba,-32,-64,20
2020-04-09,Entre Ríos,-32.04777,-60.2811,1
2020-04-09,La Rioja,-29.1,-66.85,1
2020-04-09,Mendoza,-32.89027,-68.84722,7
2020-04-09,Neuquén,-38.95166,-68.07444,4
2020-04-09,Río Negro,-40.8,-63,7
2020-04-09,Santa Cruz,-48.8238,-69.815,2
2020-04-09,Santa Fe,-33.72277,-62.24611,2
2020-04-09,Tierra del Fuego,-54.36194,-67.63805,2
2020-04-10,Buenos Aires,-36.15722,-60.56972,44
2020-04-10,CABA,-34.58591,-58.38171,24
2020-04-10,Córdoba,-32,-64,33
2020-04-10,La Rioja,-29.1,-66.85,2
2020-04-10,Mendoza,-32.89027,-68.84722,2
2020-04-10,Neuquén,-38.95166,-68.07444,1
2020-04-10,Río Negro,-40.8,-63,10
2020-04-10,San Juan,-30.86666,-68.98333,1
2020-04-10,Santa Cruz,-48.8238,-69.815,6
2020-04-10,Santa Fe,-33.72277,-62.24611,2
2020-04-10,Tierra del Fuego,-54.36194,-67.63805,3
2020-04-10,Tucumán,-27,-65.5,1
2020-04-11,Buenos Aires,-36.15722,-60.56972,17
2020-04-11,CABA,-34.58591,-58.38171,8
2020-04-11,Chaco,-27.45138,-58.98666,1
2020-04-11,Córdoba,-32,-64,6
2020-04-11,La Rioja,-29.1,-66.85,2
2020-04-11,Mendoza,-32.89027,-68.84722,5
2020-04-11,Neuquén,-38.95166,-68.07444,1
2020-04-11,Río Negro,-40.8,-63,18
2020-04-11,Santa Cruz,-48.8238,-69.815,1
2020-04-11,Santa Fe,-33.72277,-62.24611,4
2020-04-11,Santiago del Estero,-27.78333,-64.26666,2
2020-04-11,Tierra del Fuego,-54.36194,-67.63805,4
2020-04-12,Buenos Aires,-36.15722,-60.56972,35
2020-04-12,CABA,-34.58591,-58.38171,8
2020-04-12,Chaco,-27.45138,-58.98666,1
2020-04-12,Córdoba,-32,-64,6
2020-04-12,La Rioja,-29.1,-66.85,4
2020-04-12,Mendoza,-32.89027,-68.84722,2
2020-04-12,Neuquén,-38.95166,-68.07444,4
2020-04-12,Santa Fe,-33.72277,-62.24611,2
2020-04-12,Tierra del Fuego,-54.36194,-67.63805,5
2020-04-13,Buenos Aires,-36.15722,-60.56972,23
2020-04-13,CABA,-34.58591,-58.38171,9
2020-04-13,Chaco,-27.45138,-58.98666,26
2020-04-13,Córdoba,-32,-64,14
2020-04-13,Corrientes,-28.6666,-57.6333,1
2020-04-13,La Rioja,-29.1,-66.85,6
2020-04-13,Mendoza,-32.89027,-68.84722,1
2020-04-13,Neuquén,-38.95166,-68.07444,1
