fecha_internacion,residencia_provincia_nombre,lat,lng,Casos
2020-04-23,Buenos Aires,-36.15722,-60.56972,31
2020-04-23,CABA,-34.58591,-58.38171,40
2020-04-23,Río Negro,-40.8,-63,4
2020-04-24,Buenos Aires,-36.15722,-60.56972,18
2020-04-24,CABA,-34.58591,-58.38171,31
2020-04-24,Chaco,-27.45138,-58.98666,2
2020-04-24,Córdoba,-32,-64,1
2020-04-24,La Rioja,-29.1,-66.85,1
2020-04-24,Misiones,-26.91666,-54.51666,1
2020-04-24,Río Negro,-40.8,-63,6
2020-04-25,Buenos Aires,-36.15722,-60.56972,22
2020-04-25,CABA,-34.58591,-58.38171,21
2020-04-25,Chaco,-27.45138,-58.98666,2
2020-04-25,Mendoza,-32.89027,-68.84722,2
2020-04-25,Misiones,-26.91666,-54.51666,1
2020-04-25,Río Negro,-40.8,-63,2
2020-04-25,Santa Cruz,-48.8238,-69.815,1
2020-04-26,Buenos Aires,-36.15722,-60.56972,19
2020-04-26,CABA,-34.58591,-58.38171,14
2020-04-26,Chaco,-27.45138,-58.98666,3
2020-04-26,Córdoba,-32,-64,1
2020-04-26,Mendoza,-32.89027,-68.84722,1
2020-04-26,Misiones,-26.91666,-54.51666,1
2020-04-26,Neuquén,-38.95166,-68.07444,3
2020-04-26,Río Negro,-40.8,-63,8
2020-04-26,Salta,-24.78333,-65.41666,1
2020-04-27,Buenos Aires,-36.15722,-60.56972,18
2020-04-27,CABA,-34.58591,-58.38171,29
2020-04-27,Chaco,-27.45138,-58.98666,2
2020-04-27,Córdoba,-32,-64,1
2020-04-27,Entre Ríos,-32.04777,-60.2811,1
2020-04-27,Mendoza,-32.89027,-68.84722,1
2020-04-27,Misiones,-26.91666,-54.51666,1
2020-04-27,Río Negro,-40.8,-63,4
2020-04-28,Buenos Aires,-36.15722,-60.56972,24
2020-04-28,CABA,-34.58591,-58.38171,12
2020-04-28,Córdoba,-32,-64,1
2020-04-28,Mendoza,-32.89027,-68.84722,1
2020-04-28,Misiones,-26.91666,-54.51666,4
2020-04-28,Río Negro,-40.8,-63,6
2020-04-29,Buenos Aires,-36.15722,-60.56972,21
2020-04-29,CABA,-34.58591,-58.38171,9
2020-04-29,Chaco,-27.45138,-58.98666,3
2020-04-29,Chubut,-43.3,-65.1,1
2020-04-29,Córdoba,-32,-64,2
2020-04-29,Entre Ríos,-32.04777,-60.2811,2
2020-04-29,Mendoza,-32.89027,-68.84722,5
2020-04-29,Misiones,-26.91666,-54.51666,6
2020-04-29,Neuquén,-38.95166,-68.07444,1
2020-04-29,Río Negro,-40.8,-63,6
2020-04-30,Buenos Aires,-36.15722,-60.56972,20
2020-04-30,CABA,-34.58591,-58.38171,29
2020-04-30,Chaco,-27.45138,-58.98666,3
2020-04-30,Córdoba,-32,-64,2
2020-04-30,Entre Ríos,-32.04777,-60.2811,1
2020-04-30,Mendoza,-32.89027,-68.84722,1
2020-04-30,Misiones,-26.91666,-54.51666,3
2020-04-30,Río Negro,-40.8,-63,6
2020-05-01,Buenos Aires,-36.15722,-60.56972,23
2020-05-01,CABA,-34.58591,-58.38171,17
2020-05-01,Chaco,-27.45138,-58.98666,1
2020-05-01,Córdoba,-32,-64,1
2020-05-01,Río Negro,-40.8,-63,5
2020-05-02,Buenos Aires,-36.15722,-60.56972,14
2020-05-02,CABA,-34.58591,-58.38171,30
2020-05-02,Chaco,-27.45138,-58.98666,3
2020-05-02,Entre Ríos,-32.04777,-60.2811,1
2020-05-02,Río Negro,-40.8,-63,4
